log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 14:00:06.635099,1763240406.6350927,2025-11-15 21:00:06.634,1763240406.634711,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:04:58.284330,1763240698.2843227,2025-11-15 21:04:58.284,1763240698.284196,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:04:58.284388,1763240698.2843876,2025-11-15 21:04:58.284,1763240698.284244,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:04:58.284405,1763240698.2844048,2025-11-15 21:04:58.284,1763240698.284278,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:05:09.226762,1763240709.2267542,2025-11-15 21:05:09.226,1763240709.226479,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:09:58.059922,1763240998.0599167,2025-11-15 21:09:58.59,1763240998.059677,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:09:58.060017,1763240998.0600154,2025-11-15 21:09:58.59,1763240998.059728,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:09:58.060058,1763240998.0600567,2025-11-15 21:09:58.59,1763240998.059765,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:10:09.998693,1763241009.9986868,2025-11-15 21:10:09.998,1763241009.998315,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:14:58.730820,1763241298.7308173,2025-11-15 21:14:58.730,1763241298.730631,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 14:14:58.730856,1763241298.7308555,2025-11-15 21:14:58.730,1763241298.730682,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:14:58.730872,1763241298.730872,2025-11-15 21:14:58.730,1763241298.730715,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:15:10.667681,1763241310.6676748,2025-11-15 21:15:10.667,1763241310.667472,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:19:58.347336,1763241598.3473294,2025-11-15 21:19:58.347,1763241598.347254,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:19:58.347388,1763241598.3473873,2025-11-15 21:19:58.347,1763241598.347307,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:19:58.347405,1763241598.347405,2025-11-15 21:19:58.347,1763241598.347348,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:20:11.306826,1763241611.3068175,2025-11-15 21:20:11.306,1763241611.30626,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:24:58.987834,1763241898.987833,2025-11-15 21:24:58.987,1763241898.987776,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 14:24:58.987860,1763241898.98786,2025-11-15 21:24:58.987,1763241898.987824,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:24:58.987893,1763241898.987893,2025-11-15 21:24:58.987,1763241898.987859,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:25:11.950526,1763241911.9505203,2025-11-15 21:25:11.950,1763241911.950318,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:29:58.634843,1763242198.6348424,2025-11-15 21:29:58.634,1763242198.634783,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:29:58.634872,1763242198.6348712,2025-11-15 21:29:58.634,1763242198.634831,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:29:58.634898,1763242198.6348975,2025-11-15 21:29:58.634,1763242198.634864,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:30:12.618806,1763242212.6188,2025-11-15 21:30:12.618,1763242212.618495,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:34:58.254789,1763242498.2547867,2025-11-15 21:34:58.254,1763242498.254601,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 14:34:58.254828,1763242498.2548277,2025-11-15 21:34:58.254,1763242498.254651,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:34:58.254845,1763242498.2548444,2025-11-15 21:34:58.254,1763242498.254689,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:35:13.291533,1763242513.2915263,2025-11-15 21:35:13.291,1763242513.291339,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:39:58.987349,1763242798.987347,2025-11-15 21:39:58.987,1763242798.987256,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 14:39:58.987384,1763242798.987384,2025-11-15 21:39:58.987,1763242798.987308,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:39:58.987401,1763242798.9874003,2025-11-15 21:39:58.987,1763242798.987343,300.0,speedway-mountain,SPaT,0,NA,NA
